Scientific_Name,Common_Name,#_of_States_2005,States_2005,#_of_States_2015,States_2015,Taxonomic_Group,matches_biotics
Anas rubripes,American Black Duck,23,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Illinois,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,New Hampshire,New Jersey,New York,Ohio,Rhode Island,South Carolina,Vermont,Virginia,West Virginia,Wisconsin",24,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Kentucky,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",Birds,TRUE
Coccyzus americanus,Yellow-billed Cuckoo,26,"Arizona,Arkansas,California,Colorado,Connecticut,Idaho,Illinois,Iowa,Louisiana,Michigan,Montana,Nebraska,Nevada,New Jersey,New Mexico,North Carolina,Ohio,Rhode Island,Tennessee,Texas,Utah,Virgin Islands,Virginia,Washington,Wisconsin,Wyoming",24,"Arizona,Arkansas,California,Colorado,Connecticut,District of Columbia,Idaho,Illinois,Iowa,Maine,Minnesota,Missouri,Nevada,New Jersey,New Mexico,Ohio,Puerto Rico,Rhode Island,South Carolina,Texas,Utah,Virginia,Washington,Wyoming",Birds,TRUE
Contopus cooperi,Olive-sided Flycatcher,19,"Alaska,Arizona,California,Colorado,Connecticut,Iowa,Maine,Maryland,Michigan,Minnesota,Nevada,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin",24,"Alaska,Arizona,California,Colorado,Delaware,Idaho,Iowa,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Tennessee,Utah,Vermont,West Virginia,Wisconsin",Birds,TRUE
Geothlypis formosa,Kentucky Warbler,26,"Alabama,Arkansas,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Mississippi,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas,Virgin Islands,Virginia,West Virginia,Wisconsin",24,"Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",Birds,TRUE
Aquila chrysaetos,Golden Eagle,16,"Alaska,California,Colorado,Kansas,Maine,Maryland,Montana,Nebraska,New Hampshire,New Mexico,New York,North Dakota,Pennsylvania,Tennessee,Texas,Washington",23,"Alabama,Arizona,Colorado,Delaware,Idaho,Kansas,Maine,Maryland,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Tennessee,Texas,Utah,Virginia,Washington,West Virginia",Birds,TRUE
Lasiurus cinereus,hoary bat,22,"California,Connecticut,Delaware,Florida,Indiana,Maryland,Massachusetts,Michigan,Mississippi,Montana,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",23,"Colorado,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Rhode Island,South Carolina,Vermont,Virginia,Washington,West Virginia",Mammals,TRUE
Myotis sodalis,Indiana Myotis,25,"Alabama,Arkansas,Connecticut,Georgia,Illinois,Indiana,Iowa,Kentucky,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Vermont,Virginia,West Virginia",23,"Alabama,Arkansas,Connecticut,Georgia,Illinois,Indiana,Iowa,Kentucky,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Tennessee,Vermont,Virginia,West Virginia",Mammals,TRUE
Chaetura pelagica,Chimney Swift,14,"Arkansas,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Maine,New Jersey,North Carolina,Ohio,Rhode Island,Texas,Vermont,Virginia",22,"Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Louisiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,West Virginia",Birds,TRUE
Cistothorus platensis,Sedge Wren,27,"Arkansas,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Tennessee,Texas,Vermont,Virginia,West Virginia",22,"Arkansas,Connecticut,Delaware,Florida,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Vermont",Birds,TRUE
Clemmys guttata,Spotted Turtle,21,"Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Maine,Maryland,Massachusetts,Michigan,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,West Virginia",22,"Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Maine,Maryland,Massachusetts,Michigan,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,West Virginia",Reptiles,TRUE
Dermochelys coriacea,leatherback turtle,20,"Alabama,Alaska,Connecticut,Delaware,Florida,Georgia,Hawaii,Louisiana,Maine,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands",22,"Alabama,California,Connecticut,Delaware,Florida,Georgia,Hawaii,Louisiana,Maine,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia,Washington",Reptiles,TRUE
Egretta thula,Snowy Egret,27,"Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Kansas,Maine,Maryland,Massachusetts,Mississippi,Missouri,Nevada,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Wisconsin,Wyoming",22,"Arizona,Connecticut,Delaware,Florida,Illinois,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia,Wyoming",Birds,TRUE
Caretta caretta,Loggerhead,20,"Alabama,Alaska,Connecticut,Delaware,Florida,Georgia,Hawaii,Louisiana,Maine,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia",21,"Alabama,California,Connecticut,Delaware,Florida,Georgia,Hawaii,Louisiana,Maine,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia,Washington",Reptiles,TRUE
Egretta caerulea,Little Blue Heron,21,"Arkansas,Connecticut,Delaware,Florida,Illinois,Kansas,Kentucky,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Virgin Islands,Virginia",21,"Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Oklahoma,South Carolina,Tennessee,Texas,Virginia",Birds,TRUE
Eptesicus fuscus,big brown bat,7,"Alaska,Florida,Louisiana,Ohio,Puerto Rico,Vermont,Wyoming",21,"Connecticut,Delaware,District of Columbia,Florida,Louisiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,North Dakota,Ohio,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Texas,Vermont,Wisconsin,Wyoming",Mammals,TRUE
Erynnis martialis,Mottled Duskywing,14,"Colorado,Connecticut,Delaware,District of Columbia,Illinois,Indiana,Iowa,Kansas,Maryland,New York,Pennsylvania,Virginia,West Virginia,Wisconsin",21,"Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Nebraska,New Jersey,New York,Ohio,Pennsylvania,Virginia,West Virginia,Wisconsin",Other Invertebrates,TRUE
Falco sparverius,American Kestrel,11,"Alabama,Connecticut,Kentucky,Massachusetts,New Jersey,North Carolina,Ohio,Rhode Island,Texas,Vermont,Virgin Islands",21,"Alaska,Arkansas,Connecticut,Delaware,District of Columbia,Iowa,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Pennsylvania,Rhode Island,Texas,Vermont,West Virginia",Birds,TRUE
Helmitheros vermivorum,Worm-eating Warbler,26,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Indiana,Iowa,Kentucky,Louisiana,Maryland,Michigan,Mississippi,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Virgin Islands,Virginia,West Virginia,Wisconsin",21,"Connecticut,Delaware,District of Columbia,Florida,Indiana,Iowa,Kentucky,Louisiana,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",Birds,TRUE
Opheodrys vernalis,Smooth Greensnake,18,"Connecticut,Illinois,Indiana,Iowa,Michigan,Minnesota,Missouri,Montana,Nebraska,New Hampshire,New York,North Carolina,North Dakota,Ohio,Utah,Vermont,Virginia,Wyoming",21,"Connecticut,Illinois,Indiana,Iowa,Maryland,Massachusetts,Michigan,Minnesota,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Texas,Vermont,Virginia,West Virginia,Wyoming",Reptiles,TRUE
Polyodon spathula,paddlefish,21,"Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Texas,Virginia,West Virginia,Wisconsin",21,"Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,West Virginia,Wisconsin",Fish,TRUE
Sterna hirundo,Common Tern,23,"Alaska,Connecticut,Delaware,Illinois,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Montana,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,Wisconsin",21,"Connecticut,Delaware,Illinois,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,Wisconsin",Birds,TRUE
Vermivora cyanoptera,Blue-winged Warbler,24,"Arkansas,Connecticut,Delaware,Illinois,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",21,"Connecticut,Delaware,District of Columbia,Florida,Illinois,Kentucky,Maine,Maryland,Massachusetts,Missouri,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,West Virginia",Birds,TRUE
Calidris canutus,Red Knot,18,"Alaska,Delaware,Georgia,Maine,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Virgin Islands,Virginia,Washington",20,"Alabama,California,Delaware,Florida,Georgia,Illinois,Iowa,Louisiana,Massachusetts,Mississippi,New Hampshire,New Jersey,New York,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Virgin Islands,Washington",Birds,TRUE
Coturnicops noveboracensis,Yellow Rail,22,"Alabama,California,Delaware,Illinois,Iowa,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,Montana,New York,North Carolina,North Dakota,Oklahoma,Oregon,South Carolina,Texas,Virginia,Wisconsin",20,"Alabama,California,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,New York,North Carolina,North Dakota,Oklahoma,South Carolina,Wisconsin",Birds,TRUE
Gavia immer,Common Loon,18,"Alaska,California,Connecticut,Florida,Idaho,Maine,Maryland,Massachusetts,Michigan,Minnesota,Montana,Nevada,New Hampshire,New York,South Carolina,Vermont,Washington,Wyoming",20,"California,Connecticut,Delaware,Florida,Idaho,Iowa,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Rhode Island,South Carolina,Vermont,Washington,Wyoming",Birds,TRUE
Hemidactylium scutatum,Four-toed Salamander,21,"Arkansas,Delaware,Florida,Illinois,Indiana,Kentucky,Louisiana,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Vermont,Wisconsin",20,"Arkansas,Delaware,Florida,Illinois,Indiana,Kentucky,Louisiana,Minnesota,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Vermont,Wisconsin",Amphibians,TRUE
Megaptera novaeangliae,Humpback Whale,13,"Alaska,American Samoa,Delaware,Guam,Hawaii,Maine,Maryland,Massachusetts,New Jersey,New York,Puerto Rico,Rhode Island,South Carolina",20,"Alaska,American Samoa,California,Delaware,Georgia,Guam,Hawaii,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Puerto Rico,Rhode Island,South Carolina,Texas,Virginia,Washington",Mammals,TRUE
Riparia riparia,Bank Swallow,12,"Alaska,California,Connecticut,Delaware,Kentucky,Maryland,New Mexico,Ohio,Rhode Island,Tennessee,Virgin Islands,West Virginia",20,"Alaska,California,Connecticut,Delaware,Florida,Iowa,Kentucky,Maine,Maryland,Massachusetts,Nevada,New Hampshire,New Jersey,New Mexico,North Carolina,Pennsylvania,Rhode Island,Tennessee,Virginia,West Virginia",Birds,TRUE
Spizella pusilla,Field Sparrow,22,"Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,New Jersey,North Carolina,Ohio,Rhode Island,South Carolina,Texas,Vermont,Virginia,West Virginia,Wisconsin",20,"Connecticut,Delaware,District of Columbia,Illinois,Iowa,Louisiana,Maine,Massachusetts,Minnesota,Missouri,New Hampshire,New Jersey,Ohio,Pennsylvania,Rhode Island,South Carolina,Texas,Vermont,Virginia,West Virginia",Birds,TRUE
Accipiter gentilis,Northern Goshawk,23,"Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming",19,"California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Alasmidonta marginata,elktoe,17,"Alabama,Arkansas,Georgia,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,South Dakota,Tennessee,Vermont,Virginia,West Virginia",19,"Alabama,Arkansas,Illinois,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",Mollusks,TRUE
Aythya affinis,Lesser Scaup,21,"Colorado,Connecticut,Delaware,Florida,Hawaii,Idaho,Illinois,Kentucky,Louisiana,Minnesota,Mississippi,Nebraska,New Jersey,New York,Oklahoma,South Carolina,Texas,Virgin Islands,Washington,Wisconsin,Wyoming",19,"Alaska,Delaware,Florida,Hawaii,Illinois,Iowa,Kentucky,Louisiana,Minnesota,Mississippi,Nebraska,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Wyoming",Birds,TRUE
Bombus affinis,Rusty Patched Bumble Bee,0,NA,19,"Connecticut,Delaware,District of Columbia,Georgia,Illinois,Maine,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,Vermont,Virginia,Wisconsin",Other Invertebrates,TRUE
Bombus pensylvanicus,bumble bee,0,NA,19,"Colorado,Connecticut,Delaware,Illinois,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Texas,Vermont,Virginia,Wisconsin",Other Invertebrates,TRUE
Bonasa umbellus,Ruffed Grouse,16,"Arkansas,California,Connecticut,Delaware,Illinois,Iowa,Kentucky,Massachusetts,Missouri,New Hampshire,New Jersey,New York,Ohio,Rhode Island,South Carolina,Vermont",19,"Connecticut,Delaware,Indiana,Iowa,Kentucky,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Vermont,Virginia,West Virginia",Birds,TRUE
Calidris pusilla,Semipalmated Sandpiper,16,"Alaska,Arkansas,Connecticut,Delaware,Florida,Kansas,Kentucky,Maine,Maryland,Minnesota,New Hampshire,New Jersey,New York,Rhode Island,South Carolina,Virgin Islands",19,"Alaska,Connecticut,Delaware,Florida,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Tennessee,Virgin Islands",Birds,TRUE
Heterodon platirhinos,Eastern Hog-nosed Snake,18,"Connecticut,Delaware,District of Columbia,Florida,Kansas,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New York,North Carolina,Ohio,Rhode Island,South Dakota,Tennessee,Virginia,West Virginia",19,"Connecticut,Delaware,Florida,Iowa,Kansas,Louisiana,Massachusetts,Minnesota,Nebraska,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Dakota,Tennessee,Virginia,West Virginia",Reptiles,TRUE
Laterallus jamaicensis,Black Rail,22,"Alabama,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Kansas,Louisiana,Maryland,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Oklahoma,Puerto Rico,South Carolina,Texas,Virginia",19,"Alabama,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Louisiana,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Oklahoma,South Carolina,Texas,Virginia",Birds,TRUE
Lithobates pipiens,Northern Leopard Frog,21,"Arizona,California,Colorado,Connecticut,Idaho,Indiana,Kentucky,Massachusetts,Michigan,Missouri,Montana,Nevada,New Hampshire,New Mexico,Ohio,Oregon,Rhode Island,Utah,Washington,West Virginia,Wyoming",19,"Arizona,California,Colorado,Connecticut,Idaho,Iowa,Kentucky,Maine,Massachusetts,Montana,Nevada,New Hampshire,New Mexico,Pennsylvania,Rhode Island,Utah,Washington,West Virginia,Wyoming",Amphibians,TRUE
Nicrophorus americanus,American burying beetle,22,"Arkansas,Connecticut,Delaware,Illinois,Kansas,Maine,Maryland,Massachusetts,Michigan,Missouri,Nebraska,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Tennessee,Texas,Virginia,Wisconsin",19,"Alabama,Arkansas,Connecticut,Delaware,Illinois,Kansas,Massachusetts,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Dakota,Tennessee,Texas,Virginia",Other Invertebrates,TRUE
Spilogale putorius,Eastern Spotted Skunk,20,"Alabama,Arkansas,Florida,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Carolina,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia",19,"Alabama,Arkansas,Florida,Georgia,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Nebraska,North Dakota,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia",Mammals,TRUE
Spiza americana,Dickcissel,19,"Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Tennessee,Texas,West Virginia,Wisconsin,Wyoming",19,"Delaware,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Missouri,New Jersey,North Dakota,Ohio,Pennsylvania,South Carolina,Texas,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Acipenser fulvescens,lake sturgeon,18,"Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",18,"Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",Fish,TRUE
Ambystoma tigrinum,Tiger Salamander,18,"Arkansas,Delaware,Florida,Kansas,Louisiana,Maryland,Michigan,Mississippi,Missouri,New Jersey,New Mexico,New York,North Carolina,Ohio,South Carolina,Virginia,Washington,Wyoming",18,"Alabama,Arkansas,Delaware,Florida,Georgia,Iowa,Kansas,Louisiana,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,South Carolina,Virginia,Washington",Amphibians,TRUE
Calidris alba,Sanderling,17,"Alaska,Arkansas,Connecticut,Delaware,Florida,Hawaii,Kentucky,Maine,Maryland,Massachusetts,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Texas,Virgin Islands",18,"Alaska,Arkansas,California,Connecticut,Delaware,Florida,Hawaii,Iowa,Kentucky,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,North Carolina,Rhode Island,South Carolina,Virginia",Birds,TRUE
